lap2D_5pt_n1000.mtx |  Average over 45136: 0.0143144 s
Rank 5 time in mat_vec: 0.0160843 s
Rank 7 time in mat_vec: 0.016358 s
Rank 4 time in mat_vec: 0.0178597 s
Rank 6 time in mat_vec: 0.0172343 s
Rank 0 time in mat_vec: 0.0180875 s
Rank 2 time in mat_vec: 0.017864 s
Rank 1 time in mat_vec: 0.0113136 s
Rank 3 time in mat_vec: 0.0112757 s
Rank 7 time in mat_vec: 0.0128475 s
Rank 5 time in mat_vec: 0.0131091 s
Rank 6 time in mat_vec: 0.0148287 s
Rank 0 time in mat_vec: 0.0147136 s
Rank 4 time in mat_vec: 0.0148228 s
Rank 2 time in mat_vec: 0.0148307 s
Rank 1 time in mat_vec: 0.0120972 s
Rank 3 time in mat_vec: 0.0120563 s
Rank 7 time in mat_vec: 0.0143214 s
Rank 5 time in mat_vec: 0.0144202 s
Rank 4 time in mat_vec: 0.0146972 s
Rank 0 time in mat_vec: 0.0147221 s
Rank 2 time in mat_vec: 0.014966 s
Rank 6 time in mat_vec: 0.0150496 s
Rank 1 time in mat_vec: 0.013536 s
Rank 3 time in mat_vec: 0.0133871 s
Rank 5 time in mat_vec: 0.0156065 s
Rank 7 time in mat_vec: 0.0153816 s
Rank 4 time in mat_vec: 0.0155722 s
Rank 6 time in mat_vec: 0.0156223 s
Rank 0 time in mat_vec: 0.0157304 s
Rank 2 time in mat_vec: 0.0158099 s
Rank 1 time in mat_vec: 0.0146579 s
Rank 3 time in mat_vec: 0.014869 s
Rank 5 time in mat_vec: 0.0163283 s
Rank 7 time in mat_vec: 0.0166436 s
Rank 4 time in mat_vec: 0.0166842 s
Rank 6 time in mat_vec: 0.016657 s
Rank 0 time in mat_vec: 0.0170332 s
Rank 2 time in mat_vec: 0.0169225 s
Rank 1 time in mat_vec: 0.012811 s
Rank 3 time in mat_vec: 0.012792 s
Rank 5 time in mat_vec: 0.0148767 s
Rank 7 time in mat_vec: 0.0153149 s
Rank 6 time in mat_vec: 0.01678 s
Rank 4 time in mat_vec: 0.0170206 s
Rank 0 time in mat_vec: 0.0171155 s
Rank 2 time in mat_vec: 0.0175337 s
Rank 1 time in mat_vec: 0.0126289 s
Rank 3 time in mat_vec: 0.0123598 s
Rank 7 time in mat_vec: 0.0143904 s
Rank 5 time in mat_vec: 0.0146087 s
Rank 4 time in mat_vec: 0.0155775 s
Rank 6 time in mat_vec: 0.0156665 s
Rank 2 time in mat_vec: 0.015874 s
Rank 0 time in mat_vec: 0.0158092 s
Rank 1 time in mat_vec: 0.0114242 s
Rank 3 time in mat_vec: 0.0113749 s
Rank 7 time in mat_vec: 0.0130983 s
Rank 5 time in mat_vec: 0.0132747 s
Rank 4 time in mat_vec: 0.0139055 s
Rank 6 time in mat_vec: 0.0139259 s
Rank 0 time in mat_vec: 0.0138422 s
Rank 2 time in mat_vec: 0.0138801 s
Rank 1 time in mat_vec: 0.0115519 s
Rank 3 time in mat_vec: 0.0115047 s
Rank 7 time in mat_vec: 0.0132875 s
Rank 5 time in mat_vec: 0.0134194 s
Rank 2 time in mat_vec: 0.0139152 s
Rank 6 time in mat_vec: 0.0139044 s
Rank 0 time in mat_vec: 0.0139262 s
Rank 4 time in mat_vec: 0.0138619 s
Rank 1 time in mat_vec: 0.0117274 s
Rank 3 time in mat_vec: 0.0116719 s
Rank 7 time in mat_vec: 0.0135777 s
Rank 5 time in mat_vec: 0.0136664 s
Rank 4 time in mat_vec: 0.0144051 s
Rank 0 time in mat_vec: 0.0144793 s
Rank 2 time in mat_vec: 0.0143459 s
Rank 6 time in mat_vec: 0.0143797 s
Rank 1 time in mat_vec: 0.0117852 s
Rank 3 time in mat_vec: 0.011839 s
Rank 7 time in mat_vec: 0.0137118 s
Rank 5 time in mat_vec: 0.0138758 s
Rank 2 time in mat_vec: 0.0146529 s
Rank 6 time in mat_vec: 0.014464 s
Rank 0 time in mat_vec: 0.0145317 s
Rank 4 time in mat_vec: 0.0144449 s
Rank 1 time in mat_vec: 0.0116574 s
Rank 3 time in mat_vec: 0.0117055 s
Rank 7 time in mat_vec: 0.0134764 s
Rank 5 time in mat_vec: 0.0136158 s
Rank 6 time in mat_vec: 0.0143843 s
Rank 4 time in mat_vec: 0.0142307 s
Rank 0 time in mat_vec: 0.0143485 s
Rank 2 time in mat_vec: 0.0143335 s
Rank 1 time in mat_vec: 0.0121546 s
Rank 3 time in mat_vec: 0.0122353 s
Rank 7 time in mat_vec: 0.014231 s
Rank 5 time in mat_vec: 0.014453 s
Rank 4 time in mat_vec: 0.0152166 s
Rank 6 time in mat_vec: 0.0153128 s
Rank 0 time in mat_vec: 0.0152082 s
Rank 2 time in mat_vec: 0.0153065 s
Rank 1 time in mat_vec: 0.0138239 s
Rank 3 time in mat_vec: 0.0141178 s
Rank 5 time in mat_vec: 0.0157093 s
Rank 7 time in mat_vec: 0.0157445 s
Rank 4 time in mat_vec: 0.0156732 s
Rank 0 time in mat_vec: 0.0154539 s
Rank 6 time in mat_vec: 0.0154925 s
Rank 2 time in mat_vec: 0.0156243 s
Rank 1 time in mat_vec: 0.0139099 s
Rank 3 time in mat_vec: 0.0139069 s
Rank 5 time in mat_vec: 0.0155231 s
Rank 7 time in mat_vec: 0.0157812 s
Rank 6 time in mat_vec: 0.0166434 s
Rank 4 time in mat_vec: 0.0165418 s
Rank 0 time in mat_vec: 0.0172569 s
Rank 2 time in mat_vec: 0.0168919 s
Rank 1 time in mat_vec: 0.013039 s
Rank 3 time in mat_vec: 0.0130602 s
Rank 5 time in mat_vec: 0.0155832 s
Rank 7 time in mat_vec: 0.0154968 s
Rank 4 time in mat_vec: 0.016863 s
Rank 6 time in mat_vec: 0.0169735 s
Rank 0 time in mat_vec: 0.0169957 s
Rank 2 time in mat_vec: 0.0168908 s
Rank 1 time in mat_vec: 0.0113362 s
Rank 3 time in mat_vec: 0.0113191 s
Rank 7 time in mat_vec: 0.0128863 s
Rank 5 time in mat_vec: 0.0130784 s
Rank 0 time in mat_vec: 0.0149077 s
Rank 2 time in mat_vec: 0.0148091 s
Rank 6 time in mat_vec: 0.0148443 s
Rank 4 time in mat_vec: 0.0147976 s
Rank 1 time in mat_vec: 0.0114137 s
Rank 3 time in mat_vec: 0.011338 s
Rank 7 time in mat_vec: 0.0129624 s
Rank 5 time in mat_vec: 0.013212 s
Rank 6 time in mat_vec: 0.0134056 s
Rank 0 time in mat_vec: 0.0133953 s
Rank 4 time in mat_vec: 0.013356 s
Rank 2 time in mat_vec: 0.0134867 s
Rank 1 time in mat_vec: 0.011313 s
Rank 3 time in mat_vec: 0.0112953 s
Rank 7 time in mat_vec: 0.0127927 s
Rank 5 time in mat_vec: 0.0130102 s
Rank 4 time in mat_vec: 0.0132702 s
Rank 2 time in mat_vec: 0.0132701 s
Rank 6 time in mat_vec: 0.0133699 s
Rank 0 time in mat_vec: 0.0132845 s
Rank 1 time in mat_vec: 0.0127118 s
Rank 3 time in mat_vec: 0.0131863 s
Rank 5 time in mat_vec: 0.0147571 s
Rank 7 time in mat_vec: 0.0146813 s
Rank 6 time in mat_vec: 0.0154121 s
Rank 4 time in mat_vec: 0.0157588 s
Rank 0 time in mat_vec: 0.0161013 s
Rank 2 time in mat_vec: 0.0158299 s
Rank 1 time in mat_vec: 0.0115447 s
Rank 3 time in mat_vec: 0.0114783 s
Rank 7 time in mat_vec: 0.0131764 s
Rank 5 time in mat_vec: 0.0133405 s
Rank 0 time in mat_vec: 0.0146556 s
Rank 4 time in mat_vec: 0.014752 s
Rank 2 time in mat_vec: 0.0147678 s
Rank 6 time in mat_vec: 0.0147475 s
Rank 1 time in mat_vec: 0.0117694 s
Rank 3 time in mat_vec: 0.0117326 s
Rank 7 time in mat_vec: 0.0136679 s
Rank 5 time in mat_vec: 0.0138599 s
Rank 4 time in mat_vec: 0.0141601 s
Rank 2 time in mat_vec: 0.0141798 s
Rank 6 time in mat_vec: 0.0141814 s
Rank 0 time in mat_vec: 0.0141988 s
Rank 1 time in mat_vec: 0.0117587 s
Rank 3 time in mat_vec: 0.0118428 s
Rank 7 time in mat_vec: 0.013677 s
Rank 5 time in mat_vec: 0.0137836 s
Rank 4 time in mat_vec: 0.0145803 s
Rank 2 time in mat_vec: 0.0145646 s
Rank 6 time in mat_vec: 0.0144299 s
Rank 0 time in mat_vec: 0.0145864 s
Rank 1 time in mat_vec: 0.0120293 s
Rank 3 time in mat_vec: 0.0119658 s
Rank 7 time in mat_vec: 0.0137145 s
Rank 5 time in mat_vec: 0.0139598 s
Rank 4 time in mat_vec: 0.014965 s
Rank 6 time in mat_vec: 0.0150925 s
Rank 0 time in mat_vec: 0.0151392 s
Rank 2 time in mat_vec: 0.0151622 s
Rank 1 time in mat_vec: 0.0119318 s
Rank 3 time in mat_vec: 0.0118881 s
Rank 7 time in mat_vec: 0.0135484 s
Rank 5 time in mat_vec: 0.0137138 s
Rank 2 time in mat_vec: 0.0143636 s
Rank 4 time in mat_vec: 0.0143917 s
Rank 6 time in mat_vec: 0.0144618 s
Rank 0 time in mat_vec: 0.0145196 s
Rank 1 time in mat_vec: 0.0114309 s
Rank 3 time in mat_vec: 0.0114265 s
Rank 7 time in mat_vec: 0.0132632 s
Rank 5 time in mat_vec: 0.01343 s
Rank 2 time in mat_vec: 0.0143298 s
