lap2D_5pt_n1000.mtx  |  Average over 56400: 0.0130183 s
Rank 3 time in mat_vec: 0.0124483 s
Rank 5 time in mat_vec: 0.0128784 s
Rank 7 time in mat_vec: 0.0123791 s
Rank 1 time in mat_vec: 0.0132131 s
Rank 9 time in mat_vec: 0.0132333 s
Rank 2 time in mat_vec: 0.0131272 s
Rank 4 time in mat_vec: 0.0131664 s
Rank 8 time in mat_vec: 0.0134283 s
Rank 6 time in mat_vec: 0.0137455 s
Rank 0 time in mat_vec: 0.0156993 s
Rank 8 time in mat_vec: 0.0142951 s
Rank 5 time in mat_vec: 0.0151156 s
Rank 4 time in mat_vec: 0.0146367 s
Rank 6 time in mat_vec: 0.0147508 s
Rank 7 time in mat_vec: 0.0155172 s
Rank 9 time in mat_vec: 0.0150825 s
Rank 0 time in mat_vec: 0.0146681 s
Rank 2 time in mat_vec: 0.0148471 s
Rank 1 time in mat_vec: 0.0152913 s
Rank 3 time in mat_vec: 0.0149705 s
Rank 7 time in mat_vec: 0.0132375 s
Rank 9 time in mat_vec: 0.0134605 s
Rank 6 time in mat_vec: 0.0129426 s
Rank 5 time in mat_vec: 0.0154882 s
Rank 4 time in mat_vec: 0.0148752 s
Rank 8 time in mat_vec: 0.0152064 s
Rank 0 time in mat_vec: 0.0147895 s
Rank 3 time in mat_vec: 0.0151923 s
Rank 2 time in mat_vec: 0.0152947 s
Rank 1 time in mat_vec: 0.0154177 s
Rank 8 time in mat_vec: 0.0128891 s
Rank 9 time in mat_vec: 0.0136233 s
Rank 6 time in mat_vec: 0.0130794 s
Rank 7 time in mat_vec: 0.0132634 s
Rank 5 time in mat_vec: 0.015657 s
Rank 4 time in mat_vec: 0.0158193 s
Rank 2 time in mat_vec: 0.0152164 s
Rank 0 time in mat_vec: 0.0147869 s
Rank 3 time in mat_vec: 0.0149758 s
Rank 1 time in mat_vec: 0.0157522 s
Rank 6 time in mat_vec: 0.013395 s
Rank 9 time in mat_vec: 0.0129437 s
Rank 8 time in mat_vec: 0.0134034 s
Rank 7 time in mat_vec: 0.0125667 s
Rank 4 time in mat_vec: 0.0153206 s
Rank 5 time in mat_vec: 0.0146656 s
Rank 2 time in mat_vec: 0.0151609 s
Rank 0 time in mat_vec: 0.014709 s
Rank 3 time in mat_vec: 0.0147288 s
Rank 1 time in mat_vec: 0.0150122 s
Rank 9 time in mat_vec: 0.012289 s
Rank 7 time in mat_vec: 0.0120868 s
Rank 8 time in mat_vec: 0.013179 s
Rank 6 time in mat_vec: 0.0129182 s
Rank 5 time in mat_vec: 0.0142032 s
Rank 4 time in mat_vec: 0.014987 s
Rank 3 time in mat_vec: 0.0137677 s
Rank 1 time in mat_vec: 0.0141749 s
Rank 0 time in mat_vec: 0.0146892 s
Rank 2 time in mat_vec: 0.0147557 s
Rank 9 time in mat_vec: 0.0103009 s
Rank 7 time in mat_vec: 0.0103087 s
Rank 5 time in mat_vec: 0.011928 s
Rank 6 time in mat_vec: 0.0104484 s
Rank 8 time in mat_vec: 0.0103897 s
Rank 4 time in mat_vec: 0.0121659 s
Rank 3 time in mat_vec: 0.0122085 s
Rank 1 time in mat_vec: 0.0123847 s
Rank 2 time in mat_vec: 0.012134 s
Rank 0 time in mat_vec: 0.0121095 s
Rank 9 time in mat_vec: 0.0137636 s
Rank 7 time in mat_vec: 0.0130655 s
Rank 6 time in mat_vec: 0.0137491 s
Rank 8 time in mat_vec: 0.0136826 s
Rank 5 time in mat_vec: 0.0152744 s
Rank 4 time in mat_vec: 0.0155924 s
Rank 1 time in mat_vec: 0.0149927 s
Rank 3 time in mat_vec: 0.0151213 s
Rank 0 time in mat_vec: 0.0147145 s
Rank 2 time in mat_vec: 0.0149284 s
Rank 7 time in mat_vec: 0.0117684 s
