lap2D_5pt_n1000.mtx  |  Average over 84630: 0.0129664 s
Rank 3 time in mat_vec: 0.00990211 s
Rank 1 time in mat_vec: 0.0102216 s
Rank 11 time in mat_vec: 0.0107529 s
Rank 9 time in mat_vec: 0.0108961 s
Rank 5 time in mat_vec: 0.0103051 s
Rank 13 time in mat_vec: 0.0104376 s
Rank 14 time in mat_vec: 0.0104838 s
Rank 12 time in mat_vec: 0.00987144 s
Rank 10 time in mat_vec: 0.0102376 s
Rank 4 time in mat_vec: 0.00983435 s
Rank 2 time in mat_vec: 0.0101999 s
Rank 8 time in mat_vec: 0.00996931 s
Rank 7 time in mat_vec: 0.00951495 s
Rank 0 time in mat_vec: 0.0101912 s
Rank 6 time in mat_vec: 0.0099371 s
Rank 14 time in mat_vec: 0.0111794 s
Rank 7 time in mat_vec: 0.00951124 s
Rank 13 time in mat_vec: 0.00931155 s
Rank 5 time in mat_vec: 0.00954951 s
Rank 9 time in mat_vec: 0.00950667 s
Rank 11 time in mat_vec: 0.00967592 s
Rank 4 time in mat_vec: 0.00973472 s
Rank 8 time in mat_vec: 0.00975647 s
Rank 3 time in mat_vec: 0.0100331 s
Rank 6 time in mat_vec: 0.00981453 s
Rank 10 time in mat_vec: 0.00975703 s
Rank 12 time in mat_vec: 0.00985696 s
Rank 2 time in mat_vec: 0.00983107 s
Rank 0 time in mat_vec: 0.00982198 s
Rank 1 time in mat_vec: 0.0102534 s
Rank 14 time in mat_vec: 0.0113746 s
Rank 13 time in mat_vec: 0.00983613 s
Rank 5 time in mat_vec: 0.00975853 s
Rank 9 time in mat_vec: 0.00991105 s
Rank 11 time in mat_vec: 0.00971289 s
Rank 7 time in mat_vec: 0.0104193 s
Rank 6 time in mat_vec: 0.00979846 s
Rank 8 time in mat_vec: 0.00976217 s
Rank 0 time in mat_vec: 0.00972773 s
Rank 12 time in mat_vec: 0.00970226 s
Rank 2 time in mat_vec: 0.00977258 s
Rank 4 time in mat_vec: 0.00964935 s
