lap2D_5pt_n1000.mtx  |  Average over 28210: 0.0178666 s
Rank 3 time in mat_vec: 0.0154962 s
Rank 1 time in mat_vec: 0.0162197 s
Rank 2 time in mat_vec: 0.0163695 s
Rank 4 time in mat_vec: 0.0163547 s
Rank 0 time in mat_vec: 0.0170549 s
Rank 3 time in mat_vec: 0.0174485 s
Rank 2 time in mat_vec: 0.0187595 s
Rank 4 time in mat_vec: 0.0185435 s
Rank 1 time in mat_vec: 0.0177485 s
Rank 0 time in mat_vec: 0.0185123 s
Rank 4 time in mat_vec: 0.01864 s
Rank 2 time in mat_vec: 0.0190945 s
Rank 3 time in mat_vec: 0.0180587 s
Rank 1 time in mat_vec: 0.0176377 s
Rank 0 time in mat_vec: 0.019708 s
Rank 3 time in mat_vec: 0.0162026 s
Rank 4 time in mat_vec: 0.016508 s
Rank 2 time in mat_vec: 0.0184754 s
Rank 1 time in mat_vec: 0.0186316 s
Rank 0 time in mat_vec: 0.0189455 s
Rank 3 time in mat_vec: 0.0150592 s
Rank 4 time in mat_vec: 0.0167097 s
Rank 1 time in mat_vec: 0.0169665 s
Rank 2 time in mat_vec: 0.0185616 s
Rank 0 time in mat_vec: 0.0186339 s
Rank 3 time in mat_vec: 0.0161109 s
Rank 4 time in mat_vec: 0.0171784 s
Rank 2 time in mat_vec: 0.0187438 s
Rank 1 time in mat_vec: 0.0176782 s
Rank 0 time in mat_vec: 0.0189163 s
Rank 3 time in mat_vec: 0.0162642 s
Rank 4 time in mat_vec: 0.0168233 s
Rank 2 time in mat_vec: 0.0187672 s
Rank 1 time in mat_vec: 0.0183282 s
Rank 0 time in mat_vec: 0.0191129 s
Rank 3 time in mat_vec: 0.015376 s
Rank 4 time in mat_vec: 0.0163088 s
Rank 2 time in mat_vec: 0.0181403 s
Rank 1 time in mat_vec: 0.0177557 s
Rank 0 time in mat_vec: 0.0185772 s
Rank 3 time in mat_vec: 0.0144435 s
Rank 4 time in mat_vec: 0.0153976 s
Rank 1 time in mat_vec: 0.0161358 s
Rank 2 time in mat_vec: 0.0169814 s
Rank 0 time in mat_vec: 0.017281 s
Rank 3 time in mat_vec: 0.0137733 s
Rank 4 time in mat_vec: 0.0138336 s
Rank 2 time in mat_vec: 0.0153194 s
Rank 1 time in mat_vec: 0.0154601 s
Rank 0 time in mat_vec: 0.0156998 s
Rank 3 time in mat_vec: 0.0138065 s
Rank 4 time in mat_vec: 0.0146985 s
Rank 2 time in mat_vec: 0.0162627 s
Rank 1 time in mat_vec: 0.0157464 s
Rank 0 time in mat_vec: 0.0166537 s
Rank 3 time in mat_vec: 0.0137649 s
Rank 4 time in mat_vec: 0.01466 s
Rank 2 time in mat_vec: 0.0161131 s
Rank 1 time in mat_vec: 0.0155211 s
Rank 0 time in mat_vec: 0.0164265 s
Rank 3 time in mat_vec: 0.014758 s
Rank 4 time in mat_vec: 0.0151334 s
Rank 2 time in mat_vec: 0.0166259 s
Rank 1 time in mat_vec: 0.0160802 s
Rank 0 time in mat_vec: 0.0169339 s
